	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
us.achromaticmetaphor.agram_17	1343.9/13.8936519116	147.4/1.27675208401	136274.6/10.3633702913	0.0/0.0	72.174483037/45.4590277313	1732.18759289/0.866333352279	2020.88552504/0.788945222296	2959.15380452/1.53603356184	0.5/0.00065512073048	0/0.0	760.4/0.040003621679	29.0/0.510623506732	34.5/1.86507248525	0/0.0	76.600468889
us.achromaticmetaphor.agram_18	1856.4/19.1920346816	173.0/1.49849464405	174960.1/13.3053137012	0.0/0.0	72.2790008545/45.5248581767	1734.69602051/0.867587912996	2023.81202393/0.790087715172	3107.99703674/1.61329490588	0.5/0.00065512073048	0/0.0	2555.3/0.134430897523	29.0/0.510623506732	34.4/1.85966647805	0/0.0	85.2970477406
version_10_memopad	838.6/8.66970495798	4.1/0.0355134568822	80167.1/6.09652380179	0.2/0.00223392335254	76.4005680323/48.1208232429	12300.4914532/6.15194684402	12453.2925893/4.86171312943	13217.2982696/6.86081734173	0/0.0	0/0.0	387.5/0.020385854025	66.8/1.1761948362	4.0/0.216240288145	0/0.0	82.2120976764
version_10_pinball	2735.1/28.2763057841	6.8/0.0589003675119	252291.7/19.1862042414	0.0/0.0	113.647848415/71.5809864557	1591.06987782/0.795754978628	1704.71772623/0.665514641384	3523.08330088/1.82875732347	0.5/0.00065512073048	0/0.0	1605.6/0.0844684573485	4.0/0.0704308285148	37.6/2.03265870856	0/0.0	124.580636907
version_35_memopad	821.8/8.4960213862	3.6/0.0311825475063	79813.2/6.06961051974	0.0/0.0	76.4343344212/48.14209097	12305.9278418/6.15466579016	12458.7965106/4.86386183723	2522.3330359/1.30928922699	0/0.0	0/0.0	383.0/0.020149115075	66.8/1.1761948362	4.0/0.216240288145	0/0.0	76.4793065172
version_43_pinball	3824.0/39.5336891955	3.5/0.0303163656311	284778.6/21.6567583602	0.0/0.0	113.676722002/71.5991724561	1364.12066402/0.682248985404	1591.47410803/0.621304808403	3296.62493806/1.71120762223	0.5/0.00065512073048	0/0.0	1635.5/0.0860414561494	4.0/0.0704308285148	41.6/2.24889899671	0/0.0	138.240724196
linkedhashmapInsert	135.0/1.39567155894	5.0/0.0433090937588	59924.0/4.55708254756	0.0/0.0	3.73723101616/2.35389130969	504.526187181/0.2523328679	538.161266327/0.210095898374	523.212342262/0.271588356258	0/0.0	0/0.0	12.0/0.000631303866581	0/0.0	11.0/0.594660792398	0/0.0	9.67926372874
treemapInsert	157.0/1.62311433151	4.0/0.034647275007	68583.0/5.21557960682	0.0/0.0	3.65192985535/2.30016445676	434.579652786/0.217349927327	467.447021484/0.182489354151	452.839302063/0.235059213558	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	0/0.0	9.80840416514
