	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
us.achromaticmetaphor.agram_17	447.8/4.62949425254	208.8/1.80858775537	66252.8/5.03837324957	0.0/0.0	14.5777383804/9.18177429766	524.798581696/0.262471868762	568.531796837/0.221952425944	597.687273598/0.31024670307	1.0/0.00131024146096	0/0.0	704.0/0.0370364935061	20.0/0.352154142574	519.6/28.08961343	0/0.0	49.9330148605
us.achromaticmetaphor.agram_18	555.8/5.7460314997	220.0/1.90560012539	77197.6/5.87070014808	0.0/0.0	14.8278301716/9.33929436834	563.45754652/0.281806697582	607.941037035/0.237337627819	622.768867207/0.323266022819	1.0/0.00131024146096	0/0.0	1368.4/0.0719896842524	20.0/0.352154142574	969.0/52.3842098031	0/0.0	76.5137003611
