	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
us.achromaticmetaphor.agram_17	441.0/4.5591937592	199.8/1.7306313866	63645.0/4.84005604999	0.0/0.0	14.5783270359/9.18214506174	510.241446257/0.255191287839	553.976427364/0.216270070827	568.5547544/0.295124634336	1.0/0.00131024146096	0/0.0	758.0/0.0398773609057	28.0/0.493015799604	550.2/29.7438516343	0/0.0	51.3566672868
us.achromaticmetaphor.agram_18	527.2/5.45035589536	215.6/1.86748812288	78038.6/5.93465626621	0.0/0.0	14.8106872082/9.32849688956	562.806113911/0.281480891186	622.048862743/0.24284526373	636.859549952/0.330580195395	1.0/0.00131024146096	0/0.0	1422.0/0.0748095081898	28.0/0.493015799604	997.2/53.9087038345	0/0.0	77.9137429081
