,User_cpu,Nice_cpu,Context_switches,Major_faults,Duration,Red,Green,Blue,Fsync,bind,recvfrom,sendto,Dup,Poll,Total_energy(j)
us.achromaticmetaphor.agram_17,475.4/4.91483154904,214.4/1.85709394038,66248.6/5.03805384921,0.0/0.0,16.6801136017/10.5059532798,567.123862457/0.28364036259,600.484089661/0.23442646688,633.844316864/0.329015052275,1.0/0.00131024146096,0/0.0,759.8/0.0399720564857,28.0/0.493015799604,550.8/29.7762876775,0/0.0,53.4736002753
us.achromaticmetaphor.agram_18,516.4/5.33870217064,218.2/1.89000885163,69044.4/5.25066801694,0.0/0.0,16.883471632/10.6340381368,590.92150712/0.295542476057,641.571922016/0.250466984083,658.455393648/0.341790136786,1.0/0.00131024146096,0/0.0,740.6/0.0389619702991,28.0/0.493015799604,537.6/29.0626947267,0/0.0,53.597199511
