,User_cpu,Nice_cpu,Context_switches,Major_faults,Duration,Red,Green,Blue,Fsync,bind,recvfrom,sendto,Dup,Poll,Total_energy(j)
Yelp-4.2.0-28a26d3c2b46ec6a06b1ecc05b71379f0244c4d2,2055.0/21.2452226194,24.0/0.207883650042,66790.0/5.07922607556,53.0/0.591989688423,227.892761946/143.538033792,39881.2333405/19.9461321134,35323.3781016/13.7900984709,34411.8070538/17.8624343478,207.0/0.271219982419,21.0/1.26690684005,5042.0/0.265252841275,333.0/5.86336647386,71.0/3.83826511457,4.0/0.0116767511566,233.77770876
Yelp-5.3.0-cb991ab3df6175fe17d2d2cdfd321977cff3ed41,2537.0/26.2282870002,32.0/0.277178200056,136896.0/10.4106263339,4.0/0.0446784670508,226.896137953/142.910311142,41068.2009695/20.5397800816,35168.9013827/13.7297914085,34715.1091068/18.0198719679,242.0/0.317078433552,33.0/1.99085360579,21077.0/1.10883263299,346.0/6.09226666653,62.0/3.35172446624,9.0/0.0262726901023,245.047553096
