	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
version_5_wikimedia	2035.0/21.0384564625	22.4/0.194024740039	122253.8/9.29712065872	23.0/0.256901185542	115.620597792/72.8235207259	21505.4311893/10.7556897249	21736.6723848/8.48590561621	22314.7753738/11.5831234749	39.8/0.0521476101462	0.8/0.0482631177162	529.6/0.0278615439784	92.0/1.61990905584	2.0/0.108120144072	0/0.0	136.29104406
version_60_wikimedia	5618.0/58.0806134676	7.8/0.0675621862637	197140.4/14.9920745654	0.2/0.00223392335254	115.882155991/72.9882629023	20742.9059223/10.3743216367	20858.7880783/8.1431832696	21438.1988583/11.1281113207	38.0/0.0497891755165	4.0/0.241315588581	2007.0/0.105585571686	95.6/1.6832968015	2.0/0.108120144072	0/0.0	177.964470553
