	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
acctreelistinsert	406.0/4.19735298466	0.0/0.0	9065.5/0.689410450486	0.0/0.0	4.70952904224/2.9662922729	503.91960752/0.252029494181	518.048194647/0.202243839655	602.819717407/0.312910845074	0/0.0	0/0.0	12.0/0.000631303866581	0/0.0	5.0/0.270300360181	0/0.0	8.891171551
linkedlistinsert	150.0/1.5507461766	0.0/0.0	8333.5/0.633743531975	0.0/0.0	4.62087595463/2.91045421215	184.835038185/0.0924430811691	198.697666049/0.0775707343977	291.115185142/0.151111677283	0/0.0	0/0.0	12.0/0.000631303866581	0/0.0	5.0/0.270300360181	0/0.0	5.68700107762
