	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
version_10_memopad	476.5/4.92620368767	0.0/0.0	15951.0/1.21303690869	1.0/0.0111696167627	67.3025730848/42.3904600007	11710.6477168/5.85694340236	11777.9502898/4.59806233183	11777.9502898/6.11368253561	0/0.0	0/0.0	1173.0/0.0617099529583	177.0/3.11656416178	9.0/0.486540648326	0/0.0	68.7743732467
version_51_memopad	452.0/4.67291514549	0.5/0.00433090937588	15734.0/1.19653455716	0.0/0.0	67.319039464/42.4008313336	12655.9794192/6.32973998986	403.914236784/0.157686421809	403.914236784/0.209663256725	0/0.0	0/0.0	1172.0/0.0616573443027	168.5/2.96689865119	6.0/0.324360432217	0/0.0	58.3246180417
