	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
us.achromaticmetaphor.agram_17	1258.5/13.0107604217	66.0/0.571680037616	26784.0/2.03686167402	0.0/0.0	69.3687295914/43.6918266607	971.162214279/0.485715415673	1040.53094387/0.406218910793	1109.89967346/0.576125224078	1.0/0.00131024146096	0/0.0	1547.0/0.0813855901334	100.0/1.76077071287	72.5/3.91935522262	0/0.0	66.5420101117
us.achromaticmetaphor.agram_18	1580.5/16.3396955474	63.0/0.54569458136	44053.5/3.35016747896	0.0/0.0	68.4572529793/43.1177340058	889.944288731/0.445095220727	1026.85879469/0.400881361169	1026.85879469/0.533020476834	1.0/0.00131024146096	0/0.0	4555.0/0.239632426023	100.0/1.76077071287	71.0/3.83826511457	0/0.0	70.5722671672
us.achromaticmetaphor.agram_17	1159.2/11.9841664528	56.2/0.486794213848	26976.2/2.05147804251	0.0/0.0	68.9146413326/43.405819614	964.804978657/0.482535918677	1033.71961999/0.403559798554	1102.63426132/0.572353903753	1.0/0.00131024146096	0/0.0	1293.4/0.0680440350863	100.0/1.76077071287	73.2/3.95719727305	0/0.0	65.1740302065
us.achromaticmetaphor.agram_18	1584.2/16.3779472865	51.8/0.448682211341	43930.0/3.34077558765	0.0/0.0	68.3999180794/43.081621675	820.799016953/0.410513022275	820.799016953/0.320436489285	889.198935032/0.461564182732	1.0/0.00131024146096	0/0.0	4521.6/0.237875296928	100.0/1.76077071287	70.8/3.82745310016	0/0.0	70.2689498062
us.achromaticmetaphor.agram_17	1184.5/12.2457256412	60.0/0.519709125105	27181.0/2.06705261206	0.0/0.0	69.687990427/43.8929127866	905.943875551/0.453097226828	975.631865978/0.380882583327	1045.31985641/0.542603219827	1.0/0.00131024146096	0/0.0	1294.5/0.0681019046074	100.0/1.76077071287	72.5/3.91935522262	0/0.0	65.8515212765
us.achromaticmetaphor.agram_18	1584.0/16.3758796249	50.0/0.433090937588	44306.5/3.36940754779	0.0/0.0	68.3887079954/43.0745610146	889.05320394/0.444649555098	957.441911936/0.373781301657	1025.83061993/0.532486773269	1.0/0.00131024146096	0/0.0	4621.0/0.243104597289	100.0/1.76077071287	70.5/3.81123507855	0/0.0	70.420277385
