	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
version_10_2048	1198.4/12.3894281202	6.2/0.0537032762609	146661.8/11.1532929907	9.6/0.107228320922	51.2294136047/32.2667961823	7633.18262711/3.81764695755	7581.9532135/2.95996269425	8145.47676315/4.2281430814	12.4/0.0162469941159	0/0.0	4370.0/0.229899824747	28.8/0.507101965307	12.6/0.681156907656	0/0.0	68.4106073154
version_24_2048	545.0/5.63437777498	4.6/0.0398443662581	56523.6/4.29848993868	0.0/0.0	51.1519979954/32.2180360363	7570.49570332/3.78629482626	7468.19170732/2.91555067998	8133.16768126/4.22175369979	13.8/0.0180813321612	0.6/0.0361973382871	213.0/0.0112056436318	28.8/0.507101965307	13.2/0.713592950878	0/0.0	54.4005265525
