	User_cpu	Nice_cpu	Context_switches	Major_faults	Duration	Red	Green	Blue	Fsync	bind	recvfrom	sendto	Dup	Poll	Total_energy(j)
us.achromaticmetaphor.agram_17	1325.6/13.704460878	150.2/1.30100517651	132345.4/10.0645636571	0.0/0.0	72.1975677967/45.4735676447	1660.54405932/0.830501677432	1949.33433051/0.761011936431	2960.10027966/1.53652485688	0.6/0.000786144876576	0/0.0	956.4/0.0503149181665	34.8/0.612748208079	39.2/2.11915482382	0/0.0	76.454639922
us.achromaticmetaphor.agram_18	1815.4/18.76816406	172.2/1.49156518905	172181.0/13.0939695301	0.0/0.0	72.3359898567/45.5607526442	1663.7277667/0.832093971419	1953.07172613/0.762470999986	2893.43959427/1.5019227183	0.6/0.000786144876576	0/0.0	3081.4/0.162108311207	34.8/0.612748208079	40.8/2.20565093908	0/0.0	84.9922327163
