,User_cpu,Nice_cpu,Context_switches,Major_faults,Duration,Red,Green,Blue,Fsync,bind,recvfrom,sendto,Dup,Poll,Total_energy(j)
linkedhashmapInsert,175.0/1.8092038727,0.0/0.0,7822.8/0.594905970113,0.0/0.0,3.59851956367/2.26652403666,104.357067347/0.0521929659117,122.349665165/0.0477647954748,241.100810766/0.125150283354,0/0.0,0/0.0,4.8/0.000252521546632,0/0.0,2.0/0.108120144072,0/0.0,5.0041145898
treemapInsert,220.4/2.27856304882,0.0/0.0,8040.0/0.611423531179,0.0/0.0,3.60326676369/2.26951405596,118.907803202/0.0594703461581,129.717603493/0.0506412076564,255.831940222/0.132796898144,0/0.0,0/0.0,4.8/0.000252521546632,0/0.0,2.0/0.108120144072,0/0.0,5.5107817535
